event_id,van_id,timestamp_utc,ingested_utc,event_type,package_id,priority_class,delivery_sla_utc,dest_lat,dest_lon,dest_name,time_to_sla_sec,weight_kg,requires_cold_chain,special_handling,schema_version
9fa421f3-f3c8-4827-93ab-c984d030bbcf,VAN-0001,1710146512023,1710146513023,LOADED,90311b96-58f8-4b50-9d4c-94cef856d525,STANDARD,1710168560818,18.995589,72.828604,Lower Parel,22048,19.92,False,[],1
9132cfe4-5087-4510-b5cb-693aed3b91af,VAN-0001,1710143000961,1710143001961,LOADED,83e115bc-30fa-475a-b035-287a96f9cc17,PREMIUM,1710154662876,19.120849,72.909161,Powai,11661,22.86,False,[],1
5befa468-4265-4ada-9672-ccd0fb0205c7,VAN-0001,1710147601879,1710147602879,LOADED,13eff787-c7c3-47b6-90f6-162bc1d61b22,STANDARD,1710168619694,19.010912,72.813111,Worli,21017,22.52,False,[],1
7fa890a1-c017-4291-a079-54b91e243365,VAN-0001,1710145170681,1710145171681,LOADED,cfb0c8c1-e7f6-421b-b319-1aeac97a76f7,STANDARD,1710161845530,19.075375,72.885169,Kurla,16674,8.97,False,[],1
43f50a8e-0ee3-4142-b759-9e1cb72cd0d9,VAN-0001,1710145333826,1710145334826,LOADED,ba7157ff-8de2-4c10-bb49-9a588b25d263,STANDARD,1710169674341,19.120175,72.925264,Powai,24340,7.9,False,[],1
4fd47140-43b8-49dc-9199-6d5e5ac5de9e,VAN-0001,1710146576765,1710146577765,LOADED,c62e5d7e-139b-4d26-b56e-757718a8fe74,STANDARD,1710164392527,19.044654,72.860078,Dharavi,17815,14.58,False,[],1
d2b70d86-0f0d-4fea-bd6a-58980226ff89,VAN-0001,1710140487458,1710140488458,LOADED,104100c3-96e0-4ea7-ac7f-0d85be86228a,STANDARD,1710160587060,19.06677,72.903357,Chembur,20099,21.69,False,[],1
1a37ee31-9b4b-40c6-98eb-193066ac08d4,VAN-0001,1710149394660,1710149395660,LOADED,f4e219e0-929a-4acf-bbd7-e1cb054cff69,STANDARD,1710174525139,19.084624,72.911495,Ghatkopar,25130,22.62,False,[],1
f7979f69-fdf0-47d4-a3c7-96369db16ba1,VAN-0002,1710142453425,1710142454425,LOADED,fbff04dc-8437-4796-bbd3-8bb0a103b310,PREMIUM,1710151230258,19.015682,72.84099,Dadar,8776,6.64,False,[],1
95186e21-ee98-408e-ba5e-f3175fc234fb,VAN-0002,1710147185079,1710147186079,LOADED,c498f5f5-db8d-4d38-8c00-be55735ed30d,STANDARD,1710173657134,19.059573,72.900509,Chembur,26472,22.63,False,[],1
b8c67df6-2566-4138-b4e8-ec57ce2ffa46,VAN-0002,1710144340501,1710144341501,LOADED,24e4a02c-2977-4a60-885c-be1c96db5885,STANDARD,1710159220950,19.065973,72.830864,Bandra West,14880,3.72,False,[],1
33f3d4ed-2ea0-4bd8-ba14-d7f1d6614374,VAN-0002,1710141827325,1710141828325,LOADED,07a47445-4d91-4b1c-a242-943a36e72fc7,STANDARD,1710158756542,19.121031,72.897936,Powai,16929,13.72,False,[],1
049f9b22-72da-4d34-ab18-829c8c87359b,VAN-0002,1710143175276,1710143176276,LOADED,110f890a-f37c-4f9b-b60d-3234d58b3165,STANDARD,1710169534082,19.01544,72.823245,Worli,26358,20.7,False,[],1
74e6332d-fdac-49ad-b037-fe3d68a1e5ad,VAN-0002,1710149085711,1710149086711,LOADED,31aa9140-e8d7-455e-b6e6-c5511ce19168,STANDARD,1710176019427,19.186821,72.843211,Malad West,26933,11.97,False,['FRAGILE'],1
69b8ed95-b589-4e46-aff7-93ef9e159800,VAN-0002,1710148221540,1710148222540,LOADED,c00e7e10-f6de-4594-a596-7719d5471f9e,STANDARD,1710175007565,18.990223,72.829198,Lower Parel,26786,24.51,False,[],1
b78ad9a1-1a53-4e63-b6a5-27ce7c090614,VAN-0002,1710144661405,1710144662405,LOADED,2b4eff9d-0d66-4354-93d9-0e7302f162c8,STANDARD,1710160361766,19.014348,72.842782,Dadar,15700,6.98,False,[],1
2673bffc-c4c1-4f2c-b4ed-3f191130100f,VAN-0003,1710146713248,1710146714248,LOADED,15c80d34-a545-49fa-b01a-e2d784bc6f3a,STANDARD,1710170794956,19.186728,72.845342,Malad West,24081,20.65,False,[],1
053fa985-e340-4a68-97ff-c2946c4df3ad,VAN-0003,1710147091106,1710147092106,LOADED,95ac0a0f-c16e-4ba3-93a1-82fefc083735,PREMIUM,1710157685739,19.000232,72.827702,Lower Parel,10594,23.61,False,[],1
c1132920-da9f-4853-b3ba-dc9217524428,VAN-0003,1710149297637,1710149298637,LOADED,2add33c5-e90d-4fa0-9e53-7fe8080e8c3c,STANDARD,1710164607963,19.051874,72.901032,Chembur,15310,22.78,False,[],1
73fe29be-5770-45da-800a-794363fc89ce,VAN-0003,1710140801890,1710140802890,LOADED,be064faa-adc0-4320-a6ae-11f9db639cab,STANDARD,1710155854885,19.116391,72.850662,Andheri West,15052,24.9,False,[],1
fda4504c-8061-4df7-acad-57feda2cf917,VAN-0003,1710145299352,1710145300352,LOADED,508f0aaf-73de-4132-bc47-990775051b02,PREMIUM,1710153476133,19.070422,72.882256,Kurla,8176,16.93,False,[],1
adaeb626-45e8-40c8-b48f-1101ffe9b59e,VAN-0003,1710148247270,1710148248270,LOADED,a1f41b8f-ec1d-49ac-b416-234b3cb2aa70,STANDARD,1710171104971,19.120125,72.910329,Powai,22857,22.19,False,[],1
5a21ea0a-eedd-48a9-8f57-2bf6b302848c,VAN-0003,1710150676432,1710150677432,LOADED,190918d2-5c61-4429-a187-9e5c69ac5980,STANDARD,1710170953301,19.080199,72.906027,Ghatkopar,20276,1.3,False,[],1
